,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
1094,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1095,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1096,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1097,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1098,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1099,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Tarragona
1100,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1101,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1102,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1103,CCS Combo2,Carga Ultrarrápida (DC),DC,Lérida
1104,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1105,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1106,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1107,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1108,CCS Combo2+ChadeMO+MENNEKES.M+Shucko,ND 0kW,AC/DC,Barcelona
1109,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1110,MENNEKES.M,Carga Lenta (AC),AC,Tarragona
1111,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1112,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1113,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1114,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1115,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1116,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1117,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1118,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1119,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1120,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1121,MENNEKES.F,ND 0kW,AC/DC,Barcelona
1122,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1123,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1124,CCS Combo2,Carga Ultrarrápida (DC),DC,Lérida
1125,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1126,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1127,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1128,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1129,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Gerona
1130,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1131,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1132,Schuko,ND 0kW,AC,Barcelona
1133,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1134,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1135,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1136,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1137,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1138,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1139,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1140,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1141,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1142,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1143,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1144,TESLA,ND 0kW,AC,Tarragona
1145,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1146,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1147,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1148,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1149,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1150,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1151,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1152,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1153,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
1154,Schuko,ND 0kW,AC,Barcelona
1155,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1156,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1157,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1158,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Tarragona
1159,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1160,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1161,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1162,Schuko,ND 0kW,AC,Barcelona
1163,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1164,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1165,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1166,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1167,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1168,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
