,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
1731,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1732,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1733,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1734,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1735,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1736,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1737,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1738,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1739,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1740,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1741,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1742,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1743,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1744,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1745,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1746,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1747,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1748,CCS Combo2+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Gerona
1749,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1750,CCS Combo2+ChadeMO+MENNEKES.M+Schuko,Carga Rápida (DC),AC/DC,Barcelona
1751,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1752,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1753,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1754,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1755,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1756,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1757,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1758,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1759,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1760,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1761,,ND 0kW,AC,Barcelona
1762,TESLA,ND 0kW,AC,Gerona
1763,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1764,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1765,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1766,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1767,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1768,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1769,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1770,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1771,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1772,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1773,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
1774,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1775,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1776,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Lérida
1777,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1778,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1779,CCS Combo2,Carga Rápida (DC),DC,Gerona
1780,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1781,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1782,MENNEKES.F+Schuko,ND 0kW,AC/DC,Gerona
1783,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1784,Schuko,ND 0kW,AC,Barcelona
1785,,ND 0kW,AC,Barcelona
1786,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1787,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1788,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1789,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1790,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1791,MENNEKES.M,Carga Lenta (AC),AC,Barcelona
1792,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1793,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1794,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1795,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1796,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1797,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1798,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1799,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1800,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1801,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1802,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1803,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1804,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1805,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1806,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1807,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1808,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1809,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1810,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1811,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1812,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1813,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1814,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1815,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1816,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1817,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1818,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1819,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1820,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1821,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1822,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1823,CCS Combo2+ChadeMO+MENNEKES.M+Shucko,ND 0kW,AC/DC,Barcelona
1824,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1825,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1826,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1827,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1828,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1829,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1830,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1831,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1832,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1833,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1834,CCS Combo2+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Gerona
1835,CCS Combo2+ChadeMO+MENNEKES.M+Shucko,ND 0kW,AC/DC,Barcelona
1836,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1837,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1838,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1839,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
1840,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1841,MENNEKES.TESLA,ND 0kW,AC/DC,Lérida
1842,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1843,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1844,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1845,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1846,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1847,ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1848,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1849,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1850,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1851,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1852,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1853,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1854,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1855,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1856,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1857,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1858,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1859,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1860,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1861,CCS Combo2+ChadeMO+MENNEKES.M+Shucko,ND 0kW,AC/DC,Barcelona
1862,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1863,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1864,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1865,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1866,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1867,ChadeMO,Carga Rápida (DC),DC,Tarragona
1868,TESLA,ND 0kW,AC,Tarragona
1869,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Lérida
1870,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1871,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1872,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1873,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1874,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1875,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1876,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1877,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1878,TESLA i MENNEKES.M,ND 0kW,AC/DC,Barcelona
1879,,ND 0kW,AC,Barcelona
1880,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1881,Schuko,ND 0kW,AC,Barcelona
1882,,ND 0kW,AC,Barcelona
1883,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1884,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1885,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1886,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1887,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1888,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1889,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1890,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1891,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1892,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Tarragona
1893,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1894,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1895,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1896,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1897,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1898,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1899,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1900,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1901,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1902,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Barcelona
1903,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1904,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1905,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1906,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1907,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1908,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1909,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1910,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1911,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1912,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1913,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1914,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1915,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1916,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1917,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1918,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1919,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1920,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1921,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1922,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1923,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1924,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1925,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1926,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1927,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1928,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1929,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1930,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1931,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1932,MENNEKES.M,Carga Rápida (DC),AC,Lérida
1933,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1934,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1935,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1936,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1937,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1938,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1939,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1940,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1941,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1942,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1943,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1944,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1945,TESLA,ND 0kW,AC,Barcelona
1946,Schuko,ND 0kW,AC,Barcelona
1947,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1948,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
1949,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1950,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1951,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1952,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1953,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1954,MENNEKES.F+Schuko,ND 0kW,AC/DC,Barcelona
1955,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1956,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1957,CCS Combo2,Carga Rápida (DC),DC,Lérida
1958,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1959,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1960,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1961,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1962,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
1963,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1964,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1965,,ND 0kW,AC,Barcelona
1966,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1967,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
1968,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1969,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1970,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1971,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1972,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1973,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1974,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1975,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1976,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1977,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1978,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1979,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1980,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1981,CCS Combo2+ChadeMO+MENNEKES.M+Shucko,ND 0kW,AC/DC,Barcelona
1982,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1983,CCS Combo2,Carga Rápida (DC),DC,Barcelona
1984,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1985,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Tarragona
1986,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1987,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1988,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1989,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1990,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1991,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1992,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1993,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1994,ChadeMO,Carga Rápida (DC),DC,Tarragona
1995,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1996,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1997,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1998,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1999,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2000,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2001,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2002,MENNEKES.M,Carga Rápida (DC),AC,Gerona
2003,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
2004,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2005,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2006,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2007,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2008,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
2009,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2010,MENNEKES.F+Schuko,ND 0kW,AC/DC,Gerona
2011,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2012,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2013,Schuko,ND 0kW,AC,Barcelona
2014,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2015,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2016,MENNEKES.M,ND 0kW,AC/DC,Barcelona
2017,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2018,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
2019,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2020,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2021,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2022,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2023,CCS Combo2,Carga Ultrarrápida (DC),DC,Tarragona
2024,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2025,CCS Combo2+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
2026,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
2027,Schuko,ND 0kW,AC,Barcelona
2028,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2029,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2030,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2031,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2032,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
2033,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2034,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2035,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2036,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
2037,CCS Combo2,Carga Ultrarrápida (DC),DC,Lérida
2038,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2039,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
2040,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2041,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2042,MENNEKES.M,Carga Rápida (DC),AC,Lérida
2043,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2044,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2045,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2046,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
2047,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2048,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
2049,MENNEKES.M,Carga Lenta (AC),AC,Tarragona
2050,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
2051,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2052,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2053,CCS Combo2,Carga Rápida (DC),DC,Tarragona
2054,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2055,,ND 0kW,AC,Barcelona
2056,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
2057,CCS Combo2+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
2058,MENNEKES.M,Carga Rápida (DC),AC,Lérida
2059,MENNEKES.F+Schuko,ND 0kW,AC/DC,Barcelona
2060,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2061,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2062,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2063,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
2064,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
2065,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
2066,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2067,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
2068,MENNEKES.M,Carga Rápida (DC),AC,Gerona
2069,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2070,MENNEKES.M+Schuko,Carga Rápida (DC),AC,Barcelona
2071,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
2072,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2073,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
2074,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
2075,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
2076,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
2077,CCS Combo2,Carga Ultrarrápida (DC),DC,Gerona
2078,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
2079,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2080,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2081,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2082,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2083,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2084,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2085,MENNEKES.F+Schuko,ND 0kW,AC/DC,Barcelona
2086,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
2087,MENNEKES.M,Carga Rápida (DC),AC,Gerona
2088,Schuko,ND 0kW,AC,Barcelona
2089,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2090,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2091,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
2092,MENNEKES.M,Carga Rápida (DC),AC,Gerona
2093,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2094,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2095,CCS Combo2+ChadeMO+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Gerona
2096,Schuko,ND 0kW,AC,Barcelona
2097,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2098,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2099,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2100,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2101,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
2102,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
2103,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
2104,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
2105,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2106,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2107,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Tarragona
2108,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
